Company,Ticker,Sector,PE Ratio,52 Week High,52 Week Low,Avg Volume,Market Cap
Dana Incorporated,DAN,Consumer Cyclical,,16.9,7.58,1786813,1635023360
"Youdao, Inc.",DAO,Consumer Defensive,77.25,11.82,2.86,194393,923670528
Darling Ingredients Inc.,DAR,Consumer Defensive,17.413294,47.28,26,2306896,4764148224
Endava plc,DAVA,Technology,154.81819,34.94,16.6001,475640,1012508480
Dayforce Inc,DAY,Technology,476.5909,82.69,47.08,2016324,8296885248
Deutsche Bank Aktiengesellschaft,DB,Financial Services,14.945163,25.33,13.7,4134357,45130752000
"Diebold Nixdorf, Incorporated",DBD,Technology,,51.81,30.37,137800,1537320576
Designer Brands Inc.,DBI,Consumer Cyclical,,11.06,2.435,1825181,123776016
DoubleLine Opportunistic Credit Fund,DBL,Financial Services,5.7871103,16.25,14.49,57483,278727232
"DigitalBridge Group, Inc.",DBRG,Financial Services,43.277775,17.72,6.41,2851211,1454805760
"Donaldson Company, Inc.",DCI,Industrials,17.944445,78.95,57.45,680062,7334819328
Ducommun Incorporated,DCO,Industrials,26.438097,70.5,51.76,79452,825210432
"DuPont de Nemours, Inc.",DD,Basic Materials,33.347458,90.06,53.77,3070140,24701843456
3D Systems Corporation,DDD,Technology,,5,1.71,3015670,239914640
Dingdong (Cayman) Limited,DDL,Consumer Defensive,12.388888,4.79,1.12,780506,483878784
"Dillard's, Inc.",DDS,Consumer Cyclical,8.518337,510,282.24,164996,4921951232
Dillards Capital Trust I CAP SECS 7.5%,DDT,,,26.55,24.39,12900,
Deere & Company,DE,Industrials,19.442375,515.05,340.2,1532986,1.19048E+11
"Easterly Government Properties, Inc.",DEA,Real Estate,44.21111,14.525,7.79,1695054,866411328
Diversified Energy Company PLC,DEC,Energy,,17.7,10.08,549467,909047808
Deckers Outdoor Corporation,DECK,Consumer Cyclical,16.412777,223.98,93.72,3635927,15344760832
"Douglas Emmett, Inc.",DEI,Real Estate,103.76923,20.5,12.39,2242688,2675471616
Dell Technologies Inc.,DELL,Technology,12.759404,179.7,66.25,9225819,56807747584
Diageo plc,DEO,Consumer Defensive,16.918062,144.27,100.72,1200959,60643401728
"Despegar.com, Corp.",DESP,Consumer Cyclical,239.375,19.55,9.25,2402514,1601204224
"Dream Finders Homes, Inc.",DFH,Consumer Cyclical,6.2507486,39.15,19.65,478959,1950731008
"Donnelley Financial Solutions, Inc.",DFIN,Technology,13.627452,71.01,37.8,347760,1189705216
Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,DFP,Financial Services,4.8690176,21.73,17.86,60298,397001472
Discover Financial Services,DFS,Financial Services,9.284989,205.76,119.95,2190163,41396568064
Dollar General Corporation,DG,Consumer Defensive,18.470646,147.87,66.43,4299837,20759699456
Quest Diagnostics Incorporated,DGX,Healthcare,20.908203,178.87,128.38,1313504,17820291072
BNY Mellon High Yield Strategies Fund,DHF,Financial Services,5.277778,2.69,2.22,370273,172749184
"D.R. Horton, Inc.",DHI,Consumer Cyclical,9.075815,199.85,110.44,3897072,36945977344
Danaher Corporation,DHR,Healthcare,34.68998,281.7,171,4777685,1.31292E+11
"DHT Holdings, Inc.",DHT,Energy,9.066964,12.8,8.67,2041644,1630466432
"DHI Group, Inc.",DHX,Technology,147,3.32,1.26,178568,70965280
Nuveen Dow 30 Dynamic Overwrite Fund,DIAX,Financial Services,7.8502994,15.84,12.42,86701,476770048
"Dine Brands Global, Inc.",DIN,Consumer Cyclical,4.7203794,46.26,18.63,688608,311477088
HF Sinclair Corporation,DINO,Energy,31.406593,58.73,24.66,3551668,5384672256
The Walt Disney Company,DIS,Communication Services,27.126625,118.63,80.1,10481808,1.51041E+11
Tidal ETF Trust - Sound Equity Income ETF,DIVY,,14.222898,27.49,21.55,7409,
"Delek US Holdings, Inc.",DK,Energy,,30.13,11.03,1578795,774563584
"Delek Logistics Partners, LP",DKL,Energy,12.03679,45.71,34.59,208416,1931493376
"DICK'S Sporting Goods, Inc.",DKS,Consumer Cyclical,12.558007,254.6,166.37,1458452,14089739264
"Dolby Laboratories, Inc.",DLB,Industrials,26.10185,89.66,66.35,491750,6792176128
Dynagas LNG Partners LP,DLNG,Energy,3.1809525,5.65,3.2101,70360,122385280
"Digital Realty Trust, Inc.",DLR,Real Estate,90.540375,198,129.95,2675106,49982201856
Deluxe Corporation,DLX,Industrials,11.949068,24.87,13.7,409011,630510848
DoubleLine Yield Opportunities Fund,DLY,,5.2960143,16.9,13.695,169432,706179392
Destra Multi-Alternative Fund,DMA,Financial Services,8.131313,9.16,6.95,25788,72154080
"BNY Mellon Municipal Bond Infrastructure Fund, Inc.",DMB,Financial Services,9.380953,11.28,9.58,57336,181299104
Western Asset Mortgage Opportunity Fund Inc.,DMO,Financial Services,7.4701986,12.34,10.81,69126,128436336
"Ginkgo Bioworks Holdings, Inc.",DNA,Healthcare,,45.2,5,1725655,424672480
"Dun & Bradstreet Holdings, Inc.",DNB,Financial Services,,12.945,7.78,10866440,3874532352
DNOW Inc.,DNOW,Industrials,20.54054,18.449,11.42,1203186,1654109568
DNP Select Income Fund Inc.,DNP,Financial Services,4.045455,10.04,8.02,704583,3457939968
"Healthpeak Properties, Inc.",DOC,Real Estate,51.138885,23.26,17.33,5373080,12861151232
"DigitalOcean Holdings, Inc.",DOCN,Technology,29.415731,47.02,25.45,1462252,2410334976
"Doximity, Inc.",DOCS,Healthcare,50.9808,85.21,22.96,2653536,9565884416
Dole plc,DOLE,Consumer Defensive,8.549383,17.12,11.775,520726,1317661312
Douglas Elliman Inc.,DOUG,Real Estate,,2.98,1,575932,137099904
Dover Corporation,DOV,Industrials,15.547619,222.31,143.04,1116619,21480355840
Dow Inc.,DOW,Basic Materials,17.805733,60.19,25.06,8758450,19729631232
Duff & Phelps Utility and Infrastructure Fund Inc.,DPG,Financial Services,3.1279998,12.5,9.23,98311,435534880
Daqo New Energy Corp.,DQ,Technology,,30.85,12.9,929862,868032000
DRDGOLD Limited,DRD,Basic Materials,15.740386,17.6,7.64,490952,1411806208
DiamondRock Hospitality Company,DRH,Real Estate,38.12222,10,6.19,2476306,1440402432
"Darden Restaurants, Inc.",DRI,Consumer Cyclical,22.02812,211,135.87,1296888,22917201920
Strive U.S. Energy ETF,DRLL,,12.871552,32.154,23.56,54995,
DoubleLine Income Solutions Fund,DSL,Financial Services,4.5515876,13.24,10.58,502586,1278710016
"BNY Mellon Strategic Municipal Bond Fund, Inc.",DSM,Financial Services,8.212121,6.38,5.28,165455,267903552
Distillate Small/Mid Cash Flow ETF,DSMC,,10.486875,38.837,26.93,16545,
Distillate International Fundamental Stability & Value ETF,DSTX,,13.246641,26.125,22.54,3204,
"BlackRock Debt Strategies Fund, Inc.",DSU,Financial Services,10.733695,11.19,8.72,276285,511616832
Diana Shipping Inc.,DSX,Industrials,29,3.22,1.27,294126,167863600
"Dynatrace, Inc.",DT,Technology,26.490623,63,39.3,3248193,12687949824
,DTB,,,21.9,16.98,14331,
"Solo Brands, Inc.",DTC,Consumer Cyclical,,2.57,0.0881,851508,5924569
DTE Energy Company,DTE,Utilities,19.397505,140.39,107.88,1452785,27251492864
DTF Tax-Free Income 2028 Term Fund Inc.,DTF,Financial Services,18.449999,11.45,10.64,8295,77817336
,DTG,,,22.05,16.881,30931,
"DT Midstream, Inc.",DTM,Energy,25.661112,114.5,61.005,1259090,9384976384
DTE Energy Company JR SUB DB 2017 E,DTW,,3.431807,25.11,20.551,24222,3751128576
Duke Energy Corporation,DUK,Utilities,21.063158,125.27,96.68,4223840,93289259008
,DUKB,,,25.47,23.3,39085,
"DoubleVerify Holdings, Inc.",DV,Technology,37.95313,31.15,11.52,2456214,1973295360
DaVita Inc.,DVA,Healthcare,12.405872,179.6,128.69,975498,10649200640
Devon Energy Corporation,DVN,Energy,6.403509,53.2,25.89,9988844,18937776128
"Dynex Capital, Inc.",DX,Real Estate,7.647651,14.52,10.79,3717788,1096222976
DXC Technology Company,DXC,Technology,,24.83,13.44,1882114,2525633280
Destiny Tech100 Inc.,DXYZ,,17.954374,77.35,7.75,687231,312546880
"Dycom Industries, Inc.",DY,Industrials,19.01309,207.2,131.37,549790,4339134464
Eni S.p.A.,E,Energy,15.596591,33.3,24.65,326906,42081128448
GrafTech International Ltd.,EAF,Industrials,,2.53,0.52,3003288,144618560
"Entergy Arkansas, Inc. 1M BD 4.875%66",EAI,,5.946104,83.13,20.29,0,953698048
Ellington Credit Company,EARN,Financial Services,18.75,7.26,4.33,899693,197185792
"Brinker International, Inc.",EAT,Consumer Cyclical,25.506956,192.22,45.52,1562659,6512937472
"Eventbrite, Inc.",EB,Communication Services,,5.92,1.81,1052140,204872640
"Ennis, Inc.",EBF,Industrials,10.990506,25.75,17.2345,196247,451708800
Centrais Elétricas Brasileiras S.A. - Eletrobrás,EBR,Utilities,9.5,7.93,5.45,1263662,14259066880
Emergent BioSolutions Inc.,EBS,Healthcare,,15.1,1.82,1224663,244244816
Ecopetrol S.A.,EC,Energy,5.654088,12.67,7.21,2910090,18481911808
BlackRock ESG Capital Allocation Term Trust,ECAT,,6.0494943,18.14,13.35,365308,1424350592
Eagle Point Credit Company Inc.,ECC,Financial Services,8.511628,10.49,6.54,1467549,879739584
Eagle Point Credit Company Inc.,ECCC,Financial Services,12.068421,24.89,21.87,3262,
Eagle Point Credit Company Inc.,ECCF,Financial Services,,25.55,24.03,5801,
,ECCU,,,25.45,23.89,22159,
,ECCV,,,23.53,21.94,4742,
,ECCW,,,25.21,22.282,2322,
Eagle Point Credit Company Inc. 6.6875% NT 28,ECCX,,12.009828,26.95,23.85,4345,442136704
"Everus Construction Group, Inc.",ECG,Industrials,12.697474,77.933,31.38,802006,1819646464
Ecolab Inc.,ECL,Basic Materials,31.295393,273.69,217.27,1468639,65507876864
Okeanis Eco Tankers Corp.,ECO,Industrials,6.3187866,36.69,17.91,207060,687585472
Ecovyst Inc.,ECVT,Basic Materials,,10.57,5.24,954198,686121152
"Consolidated Edison, Inc.",ED,Utilities,21.148855,114.87,87.28,2967967,39917363200
"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",EDD,Financial Services,8.0912285,5.2,4.28,261996,297271072
Virtus Stone Harbor Emerging Markets Income Fund,EDF,Financial Services,3.8264463,5.73,4.14,143485,141582160
Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,EDN,Utilities,6.2447014,51.69,13.78,161649,1477915392
New Oriental Education & Technology Group Inc.,EDU,Consumer Defensive,19.286957,91.04,40.66,1815995,7370591744
"Excelerate Energy, Inc.",EE,Energy,20.52756,32.99,16.145,419854,2941921280
"The European Equity Fund, Inc.",EEA,Financial Services,,9.48,8.05,21573,60301888
"Emerald Holding, Inc.",EEX,Communication Services,,6.74,3.215,153273,692601536
Ellington Financial Inc.,EFC,Real Estate,8.827206,14.4,11.12,1211659,1088595328
Eaton Vance Senior Floating-Rate Trust,EFR,Financial Services,7.385226,13.4,10.4,111300,335845312
Eaton Vance Floating-Rate Income Trust,EFT,Financial Services,8.159722,13.88,10.44,107685,310727584
Equifax Inc.,EFX,Industrials,44.678352,309.63,199.98,1169686,27042695168
Enerflex Ltd.,EFXT,Energy,24.846155,10.61,4.6,421573,802009024
"Everest Group, Ltd.",EG,Financial Services,10.776519,407.3,320,441678,14604888064
Eldorado Gold Corporation,EGO,Basic Materials,13.457397,20.645,13.29,2154819,4037033472
"EastGroup Properties, Inc.",EGP,Real Estate,33.110752,192.61,137.67,509244,8047042048
"VAALCO Energy, Inc.",EGY,Energy,5.9821424,7.43,3,973621,347539040
"Enhabit, Inc.",EHAB,Healthcare,,10.7,6.85,336901,364465600
Encompass Health Corporation,EHC,Healthcare,21.155903,104.55,79.26,791757,9566347264
Western Asset Global High Income Fund Inc.,EHI,Financial Services,6.928571,7.35,6.11,84657,191039600
Eagle Point Income Company Inc.,EIC,Financial Services,4.875445,16.71,12.73,277096,348112896
Eagle Point Income Company Inc.,EICA,Financial Services,29.993767,24.6,23.01,3183,
Eagle Point Income Company Inc.,EICB,Financial Services,,25.46,23.63,7632,
Eagle Point Income Company Inc.,EICC,Financial Services,,25.45,23.75,25478,
"Employers Holdings, Inc.",EIG,Financial Services,10.101912,54.44,38.67,162967,1154319360
Eagle Point Institutional Income Fund,EIIA,,,25.37,24.46,7973,
Edison International,EIX,Utilities,16.818731,88.77,49.06,4854367,21434286080
The Estée Lauder Companies Inc.,EL,Consumer Defensive,,149.91,48.37,4545088,19194392576
Elanco Animal Health Incorporated,ELAN,Healthcare,12.448529,18.8,8.02,5152965,4202516992
"Entergy Louisiana, LLC COLLATERAL TR MT",ELC,,,23.43,19.93,14963,
"e.l.f. Beauty, Inc.",ELF,Consumer Defensive,31.467066,219.77,49.4,3255888,2963746304
Elme Communities,ELME,Real Estate,,18.49,13.95,690290,1320439424
Companhia Paranaense de Energia - COPEL,ELP,Utilities,14.950981,8.01,5.72,260088,5353772032
,ELPC,Utilities,13.36,7.1,5.04,11318,5210633728
"Equity LifeStyle Properties, Inc.",ELS,Real Estate,32.811222,76.6,58.86,1570788,12877884416
"Elevance Health, Inc.",ELV,Healthcare,15.75662,567.26,362.21,1717162,91602976768
Western Asset Emerging Markets Debt Fund Inc.,EMD,Financial Services,8.512076,10.33,8.56,234554,524499008
"EMCOR Group, Inc.",EME,Industrials,16.786478,545.29,319.49,576147,16426748928
Templeton Emerging Markets Fund,EMF,Financial Services,6.5,14.44,11.14,48085,183440368
Eastman Chemical Company,EMN,Basic Materials,9.94459,114.5,70.9,1283526,8806711296
ClearBridge Energy Midstream Opportunity Fund Inc,EMO,Financial Services,2.15282,51.87,36.71,43280,785945792
"Entergy Mississippi, Inc. 1M BD 66",EMP,,1.5178977,20.22,7.63,8297300,174193840
Emerson Electric Co.,EMR,Industrials,27.002563,134.85,90.06,3249855,54054948864
Enbridge Inc.,ENB,Energy,26.943113,46.12,34.6,4166011,98052653056
"Enfusion, Inc.",ENFN,Technology,358.6667,11.8,7.83,1140000,1020070592
Enlightify Inc.,ENFY,Basic Materials,,3.11,0.71,37736,16182757
Enel Chile S.A.,ENIC,Utilities,29.045454,3.495,2.51,691121,4419739648
"Entergy Utility Group, Inc. 1ST MTG 5% 52",ENJ,,3.511806,24.59,20.02,2111,178166208
"Entergy Utility Group, Inc. 1ST MTG BD 66",ENO,,,25.32,21.21,13549,181793632
Enovis Corporation,ENOV,Healthcare,,56.89,29.32,866318,1781769600
"Energizer Holdings, Inc.",ENR,Industrials,33.392403,39.515,25.415,626142,1904422400
EnerSys,ENS,Industrials,9.887716,112.53,76.57,349314,3142254336
"Enova International, Inc.",ENVA,Financial Services,11.932706,117.56,57.46,270754,2270813184
"Enzo Biochem, Inc.",ENZ,Healthcare,,1.27,0.25,300140,16443999
Wells Fargo Advantage Funds - Allspring Global Dividend Opportunity Fund,EOD,Financial Services,3.253472,5.29,4.24,129442,201763744
"EOG Resources, Inc.",EOG,Energy,9.607733,138.18,102.52,3836821,59614736384
Eaton Vance Enhanced Equity Income Fund,EOI,Financial Services,2.8966103,22.1,15.5,93332,696855040
Eaton Vance Enhanced Equity Income Fund II,EOS,Financial Services,3.6007535,24.98,17.56,160486,1012652608
Eaton Vance National Municipal Opportunities Trust,EOT,Financial Services,6.0591607,18.47,15.41,45836,248045280
Enerpac Tool Group Corp.,EPAC,Industrials,23.03605,51.91,35.07,361581,2018361984
"EPAM Systems, Inc.",EPAM,Technology,18.475765,269,138.15,777183,8202276352
Edgewell Personal Care Company,EPC,Consumer Defensive,16.315218,41.5,26.65,567808,1447825536
Enterprise Products Partners L.P.,EPD,Energy,11.230483,34.63,27.37,5518319,65425797120
EPR Properties,EPR,Real Estate,30.462502,54.25,39.87,818006,3707388672
"Essential Properties Realty Trust, Inc.",EPRT,Real Estate,27.530436,34.879,25.3,1759204,5962654208
"Equity Bancshares, Inc.",EQBK,Financial Services,9.274683,50.85,31.75,77580,641955072
Equity Commonwealth,EQC,Real Estate,4.2236843,21,1.4,1082150,172767024
"Equitable Holdings, Inc.",EQH,Financial Services,12.018518,56,36.46,3259555,13939240960
Equinor ASA,EQNR,Energy,7.2781353,29.32,21.41,4441821,61371858944
Equity Residential,EQR,Real Estate,24.60294,78.83,59.41,1849606,26932623360
"Equus Total Return, Inc.",EQS,Financial Services,,1.53,0.87,3575,14129647
EQT Corporation,EQT,Energy,106.82223,56.66,30.02,8703214,28718989312
EQV Ventures Acquisition Corp.,EQV,Financial Services,,10.18,9.88,50129,449736544
Embraer S.A.,ERJ,Industrials,21.947916,56.61,23.91,2031026,7739347968
Ero Copper Corp.,ERO,Basic Materials,,24.34,9.3,527363,1107184640
Eversource Energy,ES,Utilities,24.66511,69.01,52.28,3064334,20552847360
ESAB Corporation,ESAB,Industrials,23.365385,135.97,88.535,333872,6629048320
ESCO Technologies Inc.,ESE,Technology,34.28286,171.28,100.84,161673,3768837120
Element Solutions Inc,ESI,Basic Materials,17.91,29.78,16.77,3326908,4342315520
Essent Group Ltd.,ESNT,Financial Services,7.8642335,65.33,51.61,815875,5567626240
"Empire State Realty Trust, Inc.",ESRT,Real Estate,24.910713,11.62,6.56,1433993,2038081152
"Essex Property Trust, Inc.",ESS,Real Estate,23.394623,317.73,235.4,491442,18609362944
Elastic N.V.,ESTC,Technology,,123.96,69,1529849,7823666176
Energy Transfer LP,ET,Energy,12.871095,21.45,14.6,18231175,56529186816
Eaton Vance Tax-Managed Buy-Write Income Fund,ETB,Financial Services,4.750958,15.35,11.03,107411,364246272
Ethan Allen Interiors Inc.,ETD,Consumer Cyclical,10.970711,35.62,24.55,296126,666774592
Eaton Vance Tax-Advantaged Global Dividend Income Fund,ETG,Financial Services,3.3061206,19.56,15.04,144921,1294450048
Eaton Vance Risk-Managed Diversified Equity Income Fund,ETJ,Financial Services,3.99,9.6,7.4,210580,537068352
Eaton Corporation plc,ETN,Industrials,27.05842,379.99,231.85,4030413,1.00706E+11
Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund,ETO,Financial Services,3.2685735,27,20.05,29855,371746048
Entergy Corporation,ETR,Utilities,32.944897,88.38,51.745,4553498,34769760256
Eaton Vance Tax-Managed Buy-Write Opportunities Fund,ETV,Financial Services,4.0821915,14.64,10.64,246714,1391719552
Eaton Vance Tax-Managed Global Buy-Write Opportunities Fund,ETW,Financial Services,7.529703,8.74,6.93,380906,825887808
"E2open Parent Holdings, Inc.",ETWO,Technology,,5.075,1.75,1149162,584663936
Eaton Vance Municipal Income 2028 Term Trust,ETX,Financial Services,29.27049,19.44,17.48,15247,194412384
Eaton Vance Tax-Managed Diversified Equity Income Fund,ETY,Financial Services,2.9411263,15.69,11.82,311921,2013606272
Entravision Communications Corporation,EVC,Communication Services,,2.73,1.58,330062,167951360
"Eve Holding, Inc.",EVEX,Industrials,,6.09,2.33,240998,1053659776
Eaton Vance Senior Income Trust,EVF,Financial Services,9.767857,6.54,4.77,81598,98920024
Eaton Vance Short Duration Diversified Income Fund,EVG,Financial Services,6.570491,11.45,10.25,39504,144023520
"Evolent Health, Inc.",EVH,Healthcare,,33.63,8.35,2528034,987525824
Eaton Vance Municipal Income Trust,EVN,Financial Services,10.569892,11.31,9.59,97439,389928576
Evercore Inc.,EVR,Financial Services,18.901983,324.06,148.63,739057,6714457600
Everi Holdings Inc.,EVRI,Consumer Cyclical,80.823524,13.83,6.37,1135647,1187653888
Eaton Vance Tax-Advantaged Dividend Income Fund,EVT,Financial Services,3.1340723,25.83,19.2,150160,1548917376
"EVERTEC, Inc.",EVTC,Technology,18.479769,38.87,28.76,319027,2046978304
Vertical Aerospace Ltd.,EVTL,Industrials,,15.99,2.76,418780,276487328
Eaton Vance Total Return Bond ETF,EVTR,,,52.49,48.52,263659,
Edwards Lifesciences Corporation,EW,Healthcare,29.73718,95.25,58.93,4717163,40759762944
Eaton Vance Tax-Managed Global Diversified Equity Income Fund,EXG,Financial Services,3.8582473,8.8,6.74,714598,2289931008
Endeavour Silver Corp.,EXK,Basic Materials,,5.67,2.42,11131063,1007264960
Eagle Materials Inc.,EXP,Basic Materials,14.924892,321.93,201.61,415949,6945457664
"Expeditors International of Washington, Inc.",EXPD,Industrials,18.27098,131.59,100.47,1508460,14396983296
Extra Space Storage Inc.,EXR,Real Estate,34.259953,184.87,121.03,1360904,30516969472
Ford Motor Company,F,Consumer Cyclical,6.428082,14.85,8.44,122828701,37319921664
First American Financial Corporation,FAF,Financial Services,45.198414,70.92,51.6,727483,5870861824
"Fortune Brands Innovations, Inc.",FBIN,Industrials,13.297093,90.54,47.21,1894055,6044975104
FB Financial Corporation,FBK,Financial Services,14.672794,58.875,34.5,200021,1856393728
First BanCorp.,FBP,Financial Services,9.928177,22.4,16.4,1288922,2931374080
"Franklin BSP Realty Trust, Inc.",FBRT,Real Estate,13.646341,14.115,10.5,461780,935902464
Franklin Covey Co.,FC,Consumer Defensive,14.954886,44.46,18.94,161214,258325344
First Commonwealth Financial Corporation,FCF,Financial Services,10.309353,19.96,12.71,838468,1459023232
"FTI Consulting, Inc.",FCN,Industrials,20.987852,243.6,151.75,367057,5895780352
"Four Corners Property Trust, Inc.",FCPT,Real Estate,26.299063,30.93,22.89,840665,2816391936
"Crescent Capital BDC, Inc.",FCRX,,173.38028,25,23.85,9003,
First Trust Senior Floating Rate Income Fund II,FCT,Financial Services,10.554348,10.93,8.61,103255,252298816
Freeport-McMoRan Inc.,FCX,Basic Materials,24.819231,55.24,27.66,18919644,46367059968
Fresh Del Monte Produce Inc.,FDP,Consumer Defensive,11.229731,35.27,21.23,404049,1593535616
FactSet Research Systems Inc.,FDS,Financial Services,29.196594,499.87,391.69,313370,15610678272
FedEx Corporation,FDX,Industrials,12.725158,313.84,194.3,2042139,48478068736
FirstEnergy Corp.,FE,Utilities,24.420588,44.97,37.58,5882431,23959386112
Four Seasons Education (Cayman) Inc.,FEDU,Consumer Defensive,79.99999,22.7,3.69,7883,15237648
Phoenix New Media Limited,FENG,Communication Services,,4.15,1.28,16168,18016200
Ferguson Enterprises Inc.,FERG,Industrials,19.555965,225.63,146,2074757,31907067904
"Forum Energy Technologies, Inc.",FET,Energy,,21.57,12.78,76586,181833120
FutureFuel Corp.,FF,Basic Materials,11.085714,6.4,3.77,327662,169956416
First Trust Enhanced Equity Income Fund,FFA,Financial Services,4.6502113,21.24,15,42108,352276256
Flaherty & Crumrine Preferred Securities Income Fund Inc.,FFC,Financial Services,4.7176657,16.74,13.87,129226,720500480
First Foundation Inc.,FFWM,Financial Services,,8.52,4.415,725572,408120544
"F&G Annuities & Life, Inc.",FG,Financial Services,6.8504095,50.75,31.255,294288,4505495040
First Trust Specialty Finance and Financial Opportunities Fund,FGB,Financial Services,4.6271605,4.64,3.39,39263,53849764
,FGN,,,27.65,24.21,20142,
,FGSN,,,25.05,22.32,136083,
"Federated Hermes, Inc.",FHI,Financial Services,11.123839,43.92,31.24,926763,2912873984
First Horizon Corporation,FHN,Financial Services,11.499999,22.44,14.09,6615222,8395919872
"Fiserv, Inc.",FI,Technology,38.38894,238.59,146.25,3292549,1.15364E+11
Fair Isaac Corporation,FICO,Technology,84.099266,2402.52,1105.65,211967,44730322944
"FIGS, Inc.",FIGS,Consumer Cyclical,192,7.055,3.565,2109439,624076800
Fidelis Insurance Holdings Limited,FIHL,Financial Services,16.17347,21.32,14.17,658327,1754262144
Angel Oak Financial Strategies Income Term Trust,FINS,Financial Services,8.060126,13.64,12.1,47026,319172192
FinVolution Group,FINV,Financial Services,5.7723575,11.08,4.63,1208459,1844899456
"Fidelity National Information Services, Inc.",FIS,Technology,54.74648,91.98,66.51,4075129,41178255360
"Comfort Systems USA, Inc.",FIX,Industrials,22.46475,553.09,272.93,595254,11595035648
"Foot Locker, Inc.",FL,Consumer Cyclical,60.210526,33.94,11,4259096,1086278272
Flaherty & Crumrine Total Return Fund Inc.,FLC,Financial Services,4.812689,17.48,14.51,26334,166576832
"Flagstar Financial, Inc.",FLG,Financial Services,,13.35,7.86,6406501,4313088000
FLEX LNG Ltd.,FLNG,Energy,10.399082,30.48,19.46,516649,1226170368
"Flowers Foods, Inc.",FLO,Consumer Defensive,15.393163,26.12,17.33,2225598,3802451456
,FLOC,Energy,21.406591,30.5,16.69,532595,1763810816
Fluor Corporation,FLR,Industrials,2.6504064,60.1,29.2,3207693,5477419520
Flowserve Corporation,FLS,Industrials,18.706728,65.08,37.34,1618970,5270945792
Flutter Entertainment plc,FLUT,Consumer Cyclical,878.56,299.73,174.03,2329683,38816755712
TCW Flexible Income ETF,FLXR,,,40,37.92,211578,
FMC Corporation,FMC,Basic Materials,11.732087,68.72,32.83,3671916,4703884800
Federated Hermes Premier Municipal Income Fund,FMN,Financial Services,9.463636,12.53,10.11,37934,81392664
Fresenius Medical Care AG,FMS,Healthcare,22.669905,25.96,17.93,330142,13726297088
"Fomento Económico Mexicano, S.A.B. de C.V.",FMX,Consumer Defensive,92.80357,123.09,81.08,575459,1.80338E+11
First Trust Mortgage Income Fund,FMY,Financial Services,6.272251,12.72,11.54,6057,50473176
Fabrinet,FN,Technology,19.017899,281.79,148.55,930057,6118951936
"Paragon 28, Inc.",FNA,Healthcare,,13.13,4.65,2429719,1098735360
F.N.B. Corporation,FNB,Financial Services,9.791339,17.7,10.88,2869149,4468703744
"Floor & Decor Holdings, Inc.",FND,Consumer Cyclical,35.031578,126.74,66.01,2184500,7162254848
"Fidelity National Financial, Inc.",FNF,Financial Services,12.75914,66.72,47.79,1464772,16315158528
Franco-Nevada Corporation,FNV,Basic Materials,59.8676,178.32,112.7,906996,33089953792
Finance of America Companies Inc.,FOA,Financial Services,13.889706,32.4,4.1,126750,202344000
"Cohen & Steers Closed-End Opportunity Fund, Inc.",FOF,Financial Services,5.1549315,13.39,10.37,57411,312220256
Forestar Group Inc.,FOR,Real Estate,5.531915,37.21,18,213965,924993216
"Shift4 Payments, Inc.",FOUR,Technology,24.557756,127.5,55.87,1944150,6629782528
First Trust Intermediate Duration Preferred & Income Fund,FPF,Financial Services,3.7278461,19.74,15.6,133409,1032082176
"Five Point Holdings, LLC",FPH,Real Estate,5.0625005,6.71,2.83,369875,707727808
Farmland Partners Inc.,FPI,Real Estate,9.306604,12.87,9.66,374096,465565824
"First Industrial Realty Trust, Inc.",FR,Real Estate,22.522388,58.17,40.31,1435459,6178268672
"BlackRock Floating Rate Income Strategies Fund, Inc.",FRA,Financial Services,10.732143,14.5,10.9,163459,424361312
"Forge Global Holdings, Inc.",FRGE,Financial Services,,31.65,6.6,68734,152270816
Frontline plc,FRO,Energy,6.6883407,29.39,12.4,3151093,3320422144
Federal Realty Investment Trust,FRT,Real Estate,26.733917,118.34,80.65,869381,7898491392
FS Credit Opportunities Corp.,FSCO,Financial Services,6.9572344,7.16,5.29,1026318,1297208576
FS KKR Capital Corp.,FSK,Financial Services,9.076555,24.1,17.42,2139103,5312851456
"Fastly, Inc.",FSLY,Technology,,13.355,4.65,3284916,734267968
Fortuna Mining Corp.,FSM,Basic Materials,15.243902,6.78,3.86,15929454,1912606208
Federal Signal Corporation,FSS,Industrials,20.745714,102.18,66.47,583834,4436260352
Franklin Universal Trust,FT,Financial Services,5.2967405,7.8,6.49,42088,179708160
First Trust High Yield Opportunities 2027 Term Fund,FTHY,,9.881295,15.13,12.84,96485,505077152
TechnipFMC plc,FTI,Energy,12.842933,33.45,22.12,4888936,10316631040
"Flotek Industries, Inc.",FTK,Energy,18.970587,10.35,3.13,222321,192382848
Fortis Inc.,FTS,Utilities,20.685347,48.56,38.15,701050,24071544832
Fortive Corporation,FTV,Technology,26.864408,83.32,60.385,2832755,21574385664
Strive Natural Resources and Security ETF,FTWO,,20.859558,33.05,26.12,10893,
fuboTV Inc.,FUBO,Communication Services,,6.45,1.1,20005152,959550336
H.B. Fuller Company,FUL,Basic Materials,26.53769,87.67,47.56,568073,2861921792
